basic_moving_percentage,basic_km,basic_trips,basic_avg_speed,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,basic_fuel_consumed,can_km,can_fuel_consumed,country_code,vehcile_model
0.19,123.04,39,18.36,27436.0,5100.966489832672,27.43,,,AE,H unicorn
0.0,0.56,3,0.33,33566.0,0.0,0.26,,,KW,2011 Volvo fh
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,Toyota Avanza 2020
0.77,420.89,4,45.75,33236.0,25478.0938338968,87.62,,,AE,2011 Volvo fh
0.58,450.37,15,15.4,45732.0,26430.25560524105,94.99,,,SA,2008 M Actros
0.0,2.09,3,7.0,37684.0,0.0,0.57,,,AE,Volvo FH 2008
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,2014 Volvo fh
0.34,110.36,15,10.6,17114.0,5768.569069355271,23.59,,,SA,2012 volvo FH
0.0,224.72,22,21.77,0.0,22195.881156685944,46.04,,,AE,2012 Volvo fh
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,H unicorn
0.0,0.0,0,0.0,0.0,0.0,0.0,,,AE,862476050161230
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,2014/ Volvo FH
0.97,138.06,28,38.54,13233.0,12827.44481045804,29.98,,,AE,H unicorn
0.1,22.45,12,8.0,19956.0,1897.404196362357,5.09,,,SA,2011 Volvo fh
0.58,467.96,11,44.55,36210.0,21075.295283427644,97.1,,,AE,351742100804204
0.0,1.89,2,5.5,6153.0,0.0,0.48,,,SA,2015
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,Renault Symbol 2020
0.79,695.14,10,36.5,47602.0,37539.47542699157,144.01,,,AE,2008 M Actros
0.15,15.57,5,11.4,7756.0,1173.0847758178936,3.36,15.25,12.319999999948775,AE,2004 Volvo fh12
0.0,2.85,6,1.83,33670.0,0.0,0.87,,,SA,2014 Volvo fh
0.79,337.72,5,55.4,22264.0,17644.321023170996,69.57,,,SA,Volvo FH12 2004
0.66,687.14,10,37.9,54460.0,36142.55462761856,143.28,,,AE,2014 Volbo fh
0.61,132.78,37,31.86,15082.0,9134.768794811916,29.56,,,AE,H unicorn
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,AE,2008/Volvo FH
0.71,302.0,21,28.38,35652.0,25211.23302904088,64.98,0.0,25.5,AE,TOYOTA RUSH 2022
0.0,0.0,0,0.0,16354.0,0.0,0.0,,,AE,350424062352727
0.47,449.18,11,23.09,51705.0,24216.13963637621,94.42,,,AE,"VFh12, 2015"
0.0,0.0,0,0.0,4624.0,0.0,0.0,,,AE,"VFh12, 2015"
0.46,502.64,13,39.54,53252.0,24422.2226373052,105.25,,,AE,Volvo FH12 2006
0.63,537.75,7,39.43,47333.0,29766.31955099966,112.38,,,AE,"Volvo fh12, 2005"
0.18,49.99,28,20.43,13054.0,2383.280069614716,11.4,,,AE,H unicorn
0.1,15.38,4,10.75,12795.0,1224.13235402745,3.28,15.0,8.80000000000291,AE,2014 Volvo fh
