iter	RMSE
0	14.019056
1	12.96284242
2	12.05165784
3	11.18238037
4	10.42153813
5	9.775583325
6	9.127331808
7	8.550662105
8	8.023402692
9	7.535113585
10	7.11182953
11	6.72778567
12	6.381809443
13	6.055448109
14	5.75975731
15	5.483257077
16	5.252642471
17	5.050261243
18	4.869390887
19	4.696926563
20	4.561955585
21	4.428880128
22	4.309112947
23	4.207664846
24	4.114757331
25	4.026558196
26	3.953353128
27	3.893983642
28	3.840083936
29	3.787098131
30	3.734636307
31	3.69099253
32	3.650899018
33	3.61010784
34	3.572709817
35	3.540839441
36	3.51245545
37	3.489055212
38	3.46610023
39	3.442453404
40	3.422728419
41	3.401330018
42	3.380149659
43	3.363981127
44	3.346160523
45	3.32919628
46	3.314773406
47	3.303806201
48	3.29143232
49	3.275893004
50	3.263367016
51	3.24934309
52	3.236546577
53	3.226993606
54	3.217974304
55	3.207374151
56	3.201162659
57	3.188799075
58	3.181245777
59	3.174015036
60	3.16379706
61	3.154024132
62	3.145060333
63	3.139162821
64	3.132165633
65	3.122475223
66	3.118765867
67	3.11114089
68	3.103780864
69	3.093648049
70	3.090302584
71	3.080673399
72	3.074703871
73	3.067776697
74	3.063800444
75	3.056637545
76	3.044053686
77	3.04103686
78	3.034721531
79	3.028140169
80	3.02136462
81	3.017213802
82	3.008970112
83	3.007255273
84	3.006536314
85	2.996301102
86	2.993051726
87	2.989402438
88	2.98534538
89	2.978861103
90	2.973681176
91	2.967199495
92	2.964949482
93	2.96238975
94	2.961107268
95	2.954282806
96	2.953222913
97	2.944971895
98	2.933844415
99	2.929922409
