iter	Passed	Remaining
0	140	140300
1	141	70729
2	142	47437
3	143	35840
4	144	28846
5	146	24194
6	147	20866
7	148	18366
8	149	16418
9	150	14860
10	151	13602
11	152	12529
12	153	11627
13	154	10846
14	154	10165
15	155	9561
16	156	9028
17	156	8554
18	157	8128
19	158	7743
20	158	7392
21	159	7074
22	159	6781
23	160	6511
24	160	6264
25	161	6036
26	161	5825
27	162	5628
28	162	5443
29	163	5272
30	163	5111
31	164	4964
32	164	4825
33	165	4693
34	165	4568
35	166	4452
36	166	4340
37	167	4233
38	167	4133
39	168	4037
40	168	3947
41	169	3863
42	169	3781
43	170	3701
44	170	3625
45	171	3554
46	171	3485
47	172	3418
48	172	3355
49	173	3294
50	173	3235
51	174	3178
52	174	3122
53	175	3070
54	175	3020
55	176	2974
56	176	2927
57	177	2881
58	178	2839
59	178	2796
60	179	2755
61	179	2716
62	179	2676
63	180	2639
64	180	2602
65	181	2566
66	181	2532
67	182	2496
68	182	2464
69	183	2433
70	183	2402
71	184	2373
72	184	2344
73	185	2316
74	185	2289
75	186	2262
76	186	2236
77	187	2211
78	187	2186
79	188	2163
80	188	2139
81	189	2116
82	189	2094
83	190	2072
84	190	2048
85	190	2028
86	191	2005
87	191	1986
88	192	1966
89	192	1947
90	193	1929
91	193	1910
92	194	1893
93	194	1875
94	195	1858
95	195	1841
96	196	1826
97	196	1810
98	197	1795
99	197	1779
100	198	1765
101	198	1747
102	199	1733
103	199	1718
104	199	1704
105	200	1691
106	201	1677
107	201	1664
108	201	1650
109	202	1638
110	202	1625
111	203	1612
112	203	1600
113	204	1588
114	204	1576
115	205	1564
116	205	1552
117	206	1541
118	206	1529
119	207	1518
120	207	1507
121	207	1496
122	208	1484
123	208	1474
124	209	1464
125	209	1454
126	210	1444
127	210	1434
128	210	1424
129	211	1415
130	212	1406
131	212	1397
132	213	1388
133	213	1380
134	214	1371
135	214	1362
136	215	1354
137	215	1345
138	215	1337
139	216	1329
140	216	1321
141	217	1313
142	217	1305
143	218	1298
144	218	1290
145	219	1283
146	219	1275
147	220	1268
148	220	1261
149	221	1254
150	221	1247
151	222	1240
152	222	1233
153	223	1226
154	223	1220
155	224	1214
156	224	1207
157	225	1201
158	225	1194
159	226	1188
160	226	1182
161	227	1176
162	227	1170
163	228	1164
164	228	1158
165	229	1152
166	229	1146
167	230	1140
168	230	1135
169	231	1129
170	231	1124
171	232	1118
172	232	1113
173	233	1108
174	233	1102
175	234	1097
176	234	1092
177	235	1086
178	235	1081
179	236	1077
180	236	1071
181	237	1065
182	237	1060
183	238	1055
184	238	1051
185	239	1046
186	239	1041
187	240	1036
188	240	1032
189	241	1027
190	241	1023
191	242	1018
192	242	1014
193	243	1010
194	243	1005
195	244	1001
196	244	997
197	245	992
198	245	988
199	246	984
200	246	980
201	247	976
202	247	971
203	247	967
204	248	963
205	249	959
206	249	955
207	250	952
208	250	948
209	251	944
210	251	940
211	252	937
212	252	933
213	253	929
214	253	926
215	254	922
216	254	918
217	255	914
218	255	911
219	256	907
220	256	904
221	256	900
222	257	896
223	257	893
224	258	890
225	258	886
226	259	883
227	259	879
228	260	876
229	260	873
230	261	869
231	261	866
232	262	863
233	262	860
234	263	857
235	263	853
236	264	850
237	264	847
238	265	844
239	265	841
240	266	838
241	266	835
242	267	832
243	267	829
244	268	826
245	268	823
246	269	820
247	269	817
248	270	814
249	270	811
250	271	808
251	271	806
252	272	803
253	272	800
254	273	797
255	273	795
256	274	792
257	274	789
258	275	786
259	275	784
260	275	781
261	276	778
262	276	775
263	277	773
264	277	770
265	278	768
266	278	765
267	279	762
268	279	760
269	280	758
270	280	755
271	281	753
272	281	750
273	282	748
274	282	745
275	283	743
276	283	740
277	284	738
278	284	736
279	285	733
280	285	731
281	286	728
282	286	726
283	287	724
284	287	721
285	288	719
286	288	717
287	289	714
288	289	712
289	290	710
290	290	708
291	291	705
292	291	703
293	292	701
294	292	699
295	293	696
296	293	694
297	293	692
298	294	690
299	294	688
300	295	686
301	295	684
302	296	681
303	296	679
304	297	678
305	298	675
306	298	673
307	299	671
308	299	669
309	300	667
310	300	665
311	300	663
312	301	661
313	301	659
314	302	657
315	302	655
316	303	653
317	303	651
318	304	649
319	304	647
320	305	645
321	305	643
322	305	641
323	306	639
324	306	637
325	307	635
326	307	633
327	308	631
328	308	629
329	309	627
330	309	626
331	310	624
332	310	622
333	311	620
334	311	618
335	312	616
336	312	615
337	313	613
338	313	611
339	314	609
340	314	608
341	315	606
342	315	604
343	316	603
344	316	601
345	317	599
346	317	597
347	318	596
348	318	594
349	319	592
350	319	591
351	320	589
352	320	587
353	321	586
354	321	584
355	322	583
356	322	581
357	323	579
