basic_moving_percentage,basic_km,basic_trips,basic_avg_speed,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,can_fuel_consumed,vehcile_model
0.68,176.81,4,22.5,15473,10499.30008,35,2013 / Volvo fh
0.69,295.19,11,21.73,26137,17976.92643,91.3,2014 Volvo fh
0.52,261.97,12,17.08,38299,20021.50292,103.59,2012 Volvo fh
0.65,442.84,15,26.73,45303,29643.46573,118.5,2014 Volvo fh
0.67,266.21,7,23.57,26190,17655.09274,83.1,2014 Volvo fh
0.61,394.09,6,45.67,38034,23368.88111,135.8,2012 Volvo fh
0.56,264.38,4,42.25,32441,18293.29813,62.9,2014 Volvo fh
0.47,157.6,11,13.64,23769,11179.60498,77.09,2004 Volvo fh12
0.16,144.94,5,22,51834,8113.982591,78.6,2008 Volvo fh12
0.74,447.3,7,35,37434,27747.61756,124,2008/Volvo FH
0.29,130.98,14,14.29,36769,10813.53964,61.5,2014 Volvo fh
0.53,145.45,5,24.8,20713,10877.45723,59.62,2008 Volvo fh12
0.58,341.95,11,21.09,34851,20296.20731,132.09,2014/Volvo FH
0.55,174.69,6,32.33,21095,11630.26015,68.1,2013/ Volvo FH
0,0.33,1,1,2927,0,1.41,2008 Volvo fh12
0,0,0,0,525,0,0,2014 Volvo fh
0.74,364,6,37.33,33379,24865.90053,92.9,2014 Volvo fh
0.67,352.91,13,28.69,33887,22671.74588,60.28,2014/Volvo FH
0,3.66,5,6.8,10095,0,2,2014 Volvo fh
0.58,202.88,3,44.33,22387,12908.701,91.4,2014/ Volvo FH
0.75,297.17,7,39.57,25715,19171.23771,134.32,2004 Volvo fh12
0.67,122.3,2,32,14374,9685.106538,43.5,2008/ Volvo FH
0,0.21,1,1,1259,0,0.4,2014 Volvo fh
0,1.79,3,9.67,1384,0,0.6,2014 Volvo fh
0.65,244.89,6,34.5,25150,16440.11852,94.72,2014/ Volvo FH
0.43,89.44,7,16.86,24180,10282.06796,56.3,2012 Volvo fh
0,0,0,0,1285,0,0.9,2008 Volvo fh
0.86,440.56,7,38.43,30813,26346.74896,117.3,2008  Volvo fh
0.66,245.01,5,32.8,26759,17739.88855,50.4,2014 Volvo fh
0.59,173.53,3,40.33,22898,13451.01577,71.91,2012 Volvo fh
0.48,245.86,7,31.29,39098,18707.48458,70.7,2014 Volvo fh
0,0.13,1,8,355,0,0.9,2012 volvo fh
0.7,20.75,1,27,3943,2766.13112,9,2010 Volvo fh
0,0.25,1,1,868,0,1,2008 Volvo fh12
0.62,287.82,7,32.29,30964,19350.33076,108.32,2007 Volvo fh12
0.77,288.53,5,32.8,23978,18523.06238,59.19,2014 Volvo fh
0.52,216.18,7,23.43,29334,15301.7864,65.72,2014 Volvo fh
0.42,203.43,6,46.5,33070,13783.10493,89.9,2014 Volvo fh
0,0,0,0,7956,0,1,2014 Volvo fh
0.39,67.45,4,23.25,14477,5716.795427,25.6,2014 Volvo fh
0.55,379.21,9,26.56,33619,18539.10171,138.72,2012 Volvo fh
0.23,103.98,16,10.88,32710,7465.672236,43.72,2014 Volvo fh
0,0.49,2,2,1625,0,0,2013 Volvo fh
0,0,0,0,1132,0,0.5,2012 Volvo fh
0,0,0,0,368,0,0.41,2011 Volvo fh
0.51,60.77,5,37.2,6138,3154.582238,4.7,"Toyota Avanza, 2020"
0.46,7.63,4,15.25,1754,806.122432,1,"Ford transit, 2020"
0,0,0,0,0,0,0,Renault Symbol 2020
0.81,311.06,20,33.35,31800,25627.92838,18.6,Toyota Avanza 2020
0.84,146.67,14,29.14,17248,14435.17126,10.9,Toyota Rush 2022
0.76,172.11,22,33.73,18232,13836.60619,15.9,Renault Symbol
0,0,0,0,0,0,0,Toyota Hiace
0.78,87.35,4,48.5,8358,6547.925374,0,Ford Transit 2020
0.52,94.35,12,31.42,13912,7171.740577,0,Unicorn Honda
0,0,0,0,0,0,0,TOYOTA RUSH 2022
0.56,103.69,18,28.56,14339,8026.559735,9.7,Toyota rush 2022
0.73,342.81,23,34.65,36014,26169.87433,26.8,Toyota rush 2022
0,29.45,3,14,5959,0,0,Toyota Avanza 2020
0.68,215.29,7,45,17783,12104.75237,,Volvo fh
0.78,441.66,12,36.75,32349,25326.29494,,Volvo fh
0.64,745.95,11,48.27,59086,37614.79597,,2014 Volvo fh
0,9.43,8,5.62,4775,0,,2011 Volvo fh
0.71,231.36,11,22,20576,14552.02654,,Volvo fh 2011
0,7.17,10,2.6,17667,0,,2012 volvo fh
0.78,444.63,8,35.62,30619,23991.96529,,2012 volvo fh
0,4.66,6,1.5,7882,0,,2014 Volvo fh
0,0.31,1,1,2961,0,,Volvo FH 12 2008
0.56,30.55,7,11.29,3650,2053.438357,,2014 Volvo FH
0.65,255.8,7,30,19152,12513.80784,,2013 volvo fh12
0.78,440.03,6,38.5,29608,23121.47714,,2013 Volvo fh
0,0,0,0,0,0,,2013 Volvo fh
0,0,0,0,0,0,,2013 Volvo fh
0,0.06,1,0,3247,0,,2004 Volvo fh12
0.51,23.74,2,24,5458,2774.852953,,2011 Volvo fh
0.86,330.2,6,47.17,23948,20699.54116,,2008 Volvo fh12
0.9,750.78,12,49.92,38216,34395.47492,,2013 Volvo fh
0.81,763.2,11,40.91,49236,40098.25513,,2013 Volvo fh
0.46,115.28,9,10,13911,6413.00112,,2013 Volvo fh
0.87,809.78,13,30.85,52530,45616.6371,,Volvo FH 2012
0,0.41,2,1.5,1283,0,,2011 Volvo fh
0.96,397.68,5,29.6,22576,21731.1223,,Volvo fh12 2007
0.36,62.59,11,13,13563,4909.884708,,2006 volvo fh
0.18,12.98,4,15,5090,916.4564097,,2011 Volvo fh
0,1.98,2,5.5,2063,0,,2012 Volvo fh
0,0,0,0,0,0,,2012 Volvo fh
0.34,100.46,8,10.38,18041,6101.174066,,2005 Volvo fh12
0.86,441.55,9,28,32467,28076.63731,,8.62476E+14
0.54,219.75,11,14.55,20433,11105.647,,2012 volvo FH
0.35,99.84,9,15.44,13682,4851.162786,,2012 / Volvo fh
0,0.5,1,2,2349,0,,2012 Volvo fh
0.75,279.23,8,33.75,20073,15055.9976,,2012 Volvo Fh
0,0.4,2,2.5,740,0,,2011 Volvo fh
0,0,0,0,842,0,,2012 Volvo fh
0.75,220.12,10,18.6,18408,13771.07453,,2014 Volbo fh
0.83,343.68,2,61.5,23116,19192.14407,,2011 Volvo fh
0.81,436.99,7,33.86,29467,23839.00838,,2012 Volbo fh
0,6.93,9,2.78,17048,0,,2004 Volvo fh12
0.9,440.58,7,32,31056,28098.93437,,2013  volvo fh12
0,7.5,10,2,17481,0,,2012 Volvo fh12
0.54,306.16,3,56,26034,13928.90808,,2012 Volvo fh12
0.84,480.48,8,44.38,30501,25697.3596,,2014 Volvo fh
0.81,243.6,6,36.33,21531,17338.80252,,2012 Volvo fh
0.74,391.62,8,32.38,34998,25968.86731,,2012 Volvo fh
0.72,310.93,4,58,20675,14907.39678,,2014 Volvo fh
0.59,173.53,14,24.86,26572,15702.06456,,2003 Volvo fh
0,0,0,0,0,0,,2007 Volvo fh12
0.75,180.89,4,24.5,13755,10315.61175,,2012 Volvo fh12
0.85,431.92,8,30.62,27797,23507.24705,,2014 Volvo fh12
0.66,192.22,15,24.6,25430,16753.78967,,2013 Volvo Fh
0.55,278.86,16,33.81,47486,25883.7359,,Volvo fh
0.97,189.31,2,53.5,13368,12977.25348,,2011 Volvo fh
0,0,0,0,1048,0,,2011 Volvo fh
0,0,0,0,4,0,,2004 Volvo fh12
0.73,242.41,3,55.33,21172,15467.81722,,2011 Volvo fh
0.73,343.09,2,62.5,25846,18946.85751,,2013 Volvo fh
0.64,210.75,16,23.06,31263,19866.29278,,2004 Volvo fh12
0.87,421.3,6,29.5,27372,23940.95309,,2011 Volvo fh
0,0,0,0,780,0,,2004 / Volvo fh12
0,0,0,0,327,0,,2007 / Volvo fh 12
0,0.44,2,1,3769,0,,2004 Volvo fh12
0.97,974.08,7,64.43,51272,49891.7666,,2012 Volvo fh
0.74,361.69,10,30.1,33677,25056.0031,,2004 Volvo fh12
0,7.35,8,2.12,16988,0,,2007 Volvo fh12
0,0,0,0,0,0,,2006 Volvo fh12
0.75,608.3,12,24.83,42113,31749.48812,,2007 Volvo fh12
0,7.31,9,4.11,15967,0,,2011 Volvo fh
0.56,57.59,7,14.71,8656,4825.077958,,2008 Volvo fh12
0.95,190.28,6,26.67,13487,12811.14985,,2012 Volvo fh
0,7.9,9,3,12867,0,,2012 Volvo fh
0.84,506.72,11,41.18,37424,31286.47465,,2007 Volvo fh12
0.54,115.29,8,11.75,11740,6304.370341,,2009 Volvo fh
0.39,41.33,7,15.57,7036,2721.133307,,2008 Volvo fh12
0.79,180.14,7,23.71,14905,11831.49207,,2005 Volvo fh12
0.64,100.89,7,21.29,9187,5900.728696,,2006 Volvo fh 440
0.77,698.67,14,21.21,42145,32627.3895,,2005 Volvo fh12
0.36,25.48,9,8.89,8811,3202.197438,,2008 Volvo fh12
0,0,0,0,0,0,,2009 Volvo fh12
0.81,505.4,11,42.18,38487,31022.20343,,2014 Volvo fh
0,0,0,0,0,0,,2004 volvo fh12
0.57,99.65,5,24.6,11647,6671.272214,,2012 Volvo fh
0.16,100.08,13,12,32379,5318.617174,,2013 Volvo fh
0.91,400.04,5,35.6,24344,22150.02746,,2006 Volvo fh12
0,0,0,0,0,0,,2005 Volvo fh12
0.59,199.03,8,16.5,19907,11844.4691,,2005 Volvo fh12
1.58,556.04,8,27,18734,29544.99836,,2012 Volvo fh
0.77,249.64,6,24.33,17671,13591.44876,,2005 Volvo fh
0.7,150.75,11,18.27,17810,12490.16414,,2009Volvo fh
0.05,18.92,11,9.36,10230,532.7995738,,2008 Volvo fh12
0.72,134.74,33,29.06,19055,13707.42071,,Honda unicorn
0.51,105.78,26,23.69,14625,7460.115453,,H unicorn
0.39,49.88,34,25.35,7382,2905.020824,,H unicorn
0,0,0,0,0,0,,H unicorn
0.94,223.19,33,41.79,18592,17495.63785,,H unicorn
0.89,195.2,27,37.48,18859,16747.87589,,H unicorn
0.75,181.9,21,36.67,19289,14450.62153,,H unicorn
0.9,68.07,23,34.87,6943,6238.592219,,H unicorn
0.2,72.21,19,20.53,12758,2534.719053,,H unicorn
0.57,144.25,24,28.75,19265,11004.00594,,H unicorn
0.89,177,18,42.83,15522,13880.70484,,H unicorn
0.97,39.62,4,40.5,3929,3812.452906,,H unicorn
0.2,78.42,22,20.91,15572,3107.280218,,H unicorn
0.76,135.46,22,24.41,17289,13155.74866,,H unicorn
0,0,0,0,0,0,,H unicorn
0.47,74.12,24,22.54,11011,5212.065171,,H unicorn
0,0,0,0,0,0,,H unicorn
0.39,94.92,32,34.12,15250,5909.179858,,H unicorn
0.46,119.16,20,26.85,17202,7881.842638,,H unicorn
0.81,122.51,15,32.47,13236,10766.21769,,Honda unicorn
0.27,79.89,26,21.04,13581,3655.337448,,H unicorn
0.64,120.14,15,24,14180,9141.342044,,Honda Unicorn
0.64,177.28,18,42.44,18686,11883.00864,,Honda Unicorn
0,1.71,1,19,4909,0,,Volvo FH12 2012
0.19,116.17,15,17.87,33877,6395.111691,,Volvo FH12 2003
0,16.25,4,17.5,8177,0,,Mercedes Actros 2004
0.41,217.23,13,26.69,40914,16655.6628,,Volvo FH12 2004
0.89,439.24,5,44.6,29564,26243.62773,,Volvo FH12 2012
0.6,454.67,16,35.12,41185,24876.40522,,Volvo FH12 2012
0.6,231.81,18,19,34074,20591.02932,,Volvo FH12 2004
